Y,X,empirical,pred_1zero,pred_10zero,pred_80zero,pred_300zero,pred_1000zero
9.210340371976184,10000,0.0219930560165309,0.017957078010243925,0.03134190897591728,0.0232539256464811,0.020176461864382957,0.021442963488078063
9.211839248099919,10015,0.0208039929718837,0.01785599652116615,0.031918782343974494,0.022926612648822838,0.0217355743291623,0.020539445755265878
9.213435576883485,10031,0.0220149998951469,0.01773812767790178,0.03248765441212447,0.02270419901895673,0.02383006049410886,0.021852658056816136
9.21492982430999,10046,0.0233129036104668,0.01761845687886501,0.03297238083877112,0.022625179545469533,0.025386738056502656,0.025012353516858613
9.216521231051264,10062,0.0277977906810001,0.017481319200298207,0.03343239246489977,0.022679330155434187,0.02593713822375491,0.02705755027870814
9.218010878280401,10077,0.0247075717084729,0.017344138737477588,0.03380574711809649,0.02285054051477983,0.02544391734612992,0.026360260410109398
9.219597393238857,10093,0.0247083138107857,0.01718894724409148,0.034137814401939796,0.023141633824581717,0.02449622212328871,0.025226126574138894
9.221082468508083,10108,0.0277996289273621,0.017035452851240945,0.03438349078289824,0.02348962617249155,0.02389090049446128,0.024538374423315964
9.222664121665014,10124,0.0233112422402977,0.016863540312124448,0.034572167494948534,0.023904562451022016,0.02394517067230258,0.02341890918575701
9.224144652952582,10139,0.0233117201233181,0.01669503228211755,0.03467772716830196,0.02429703292647566,0.024600985053085715,0.02349083751149711
9.225721474014483,10155,0.0247098457216109,0.016507836647980847,0.034712135462750905,0.024678045114353304,0.025484222275783543,0.02515406731300112
9.227197489042604,10170,0.0262064855851373,0.016325707824866788,0.034669788448378897,0.024966273524062898,0.025879493118849368,0.02592013111162165
9.22876950744455,10186,0.0247128717380034,0.016124759207070134,0.034544338220435795,0.0251731543284436,0.025406789247760103,0.026354176350132076
9.230339058482873,10202,0.0233194689252148,0.015917337340988966,0.03433606832120167,0.025262944748494023,0.024164746838806213,0.025987842376221686
9.231808278591425,10217,0.0220303893829372,0.01571738991585052,0.03406634538790621,0.025243910009849303,0.02288456782378655,0.02271797198337073
9.233373071086753,10233,0.0197402719213576,0.015498680760973644,0.033700764074821615,0.025133237620508737,0.02206412559796011,0.02063745380133827
9.234935418831565,10249,0.0233294933491297,0.015274808871578713,0.033257176405919284,0.024964037407378466,0.022230719028786913,0.02236295380381314
9.236397906295473,10264,0.026210913271006,0.015060649414073063,0.03277330496756278,0.024792904125318226,0.023401244105642007,0.023931900898252353
9.237955539009155,10280,0.0247389452189665,0.014828089569609005,0.03218836033504796,0.024645436252087448,0.025551912002323377,0.025111760756559656
9.239510749275965,10296,0.0312608893720142,0.014591734144531514,0.031536908793727815,0.024584737896749028,0.028052714727892614,0.02886041392756227
9.241063544619024,10312,0.0331377993322322,0.014352057089769645,0.03082421825169015,0.02465946799872791,0.030029282983617803,0.03205238589176403
9.242613932526476,10328,0.031289868517439,0.014109535105422863,0.030056148587305286,0.024913007510324603,0.03076485627508333,0.031050965622137064
9.244065241377806,10343,0.0278922086445347,0.01388001247438461,0.029291456052146746,0.02534592504384801,0.030200653913676982,0.027564191893161304
9.2456109860581,10359,0.0248994777475473,0.013633340866686145,0.028434643877598597,0.02604373174516211,0.028700157333947814,0.02581376476956079
9.247154345098899,10375,0.0279530115108525,0.013385231506144872,0.02754238522524371,0.027004461169134353,0.026993206088413397,0.029750207545878475
9.248695325852644,10391,0.0296263523142803,0.013136162749802113,0.02662212218658634,0.02823476222733464,0.025731158793926047,0.031130843217532424
9.250233935637858,10407,0.0236301521361525,0.012886611106521617,0.025681483033333705,0.02972308242728279,0.02533620640489046,0.024219379282456113
9.251770181739321,10423,0.0236448695613278,0.01263705034741465,0.024728189158297373,0.03143399493012662,0.026063871288216276,0.022338683643954905
9.253304071408298,10439,0.0264588466279164,0.012387950633748994,0.023769961578942417,0.03330338109577382,0.028097990164669302,0.027633358577273393
9.254835611862735,10455,0.0332159257277891,0.012139777663753099,0.022814428416847922,0.03523633670262964,0.03152152698172957,0.032823316343680076
9.25636481028746,10471,0.0371652885857474,0.01189299183963421,0.02186903473152469,0.03710948793513896,0.03613227239611395,0.03843275743327981
9.257891673834404,10487,0.0438093615346232,0.011648047456073741,0.02094095602914071,0.03877868911710176,0.04123527507115177,0.04410566299551778
9.259511415982631,10504,0.0438132200962592,0.011390312017851173,0.01998147053743564,0.04015886025593575,0.045878147855545164,0.04347358061261701
9.2610334862917,10520,0.0487227011270461,0.011150569997768978,0.019110178319529908,0.04093785237972196,0.04819436927638152,0.04631014121023669
9.262553243423117,10536,0.0462205386872629,0.010914014552052858,0.01827567689466126,0.04109634821451193,0.04780708202030498,0.04943799787081371
9.264070694397148,10552,0.0414993727243324,0.010681067307485878,0.01748327683781777,0.04056585497274876,0.044975951427603675,0.04245783314597582
9.26558584620216,10568,0.0392823077187696,0.010452140045464265,0.016737678517611102,0.039334487854500756,0.04073684015078961,0.03947763462756314
9.267098705794792,10584,0.0392869404556155,0.010227634043879469,0.016042930278395557,0.03745159256723255,0.03631226174443987,0.04103768942467061
9.268703615273097,10601,0.0313449654923968,0.009994376991598225,0.015364227622961042,0.03485768509312787,0.03234865878557326,0.03320322947650929
9.27021176901357,10617,0.027935025008706,0.00978020886147439,0.014784192743709297,0.03202038867691636,0.029577608859210174,0.027636183803615474
9.271717651651084,10633,0.0279354541598289,0.009571619115057321,0.014263068019202376,0.028985618816302378,0.02751206643266945,0.02808609249494228
9.273315171137574,10650,0.0222520410298989,0.009356498746924697,0.013775223604189082,0.02575662077317456,0.02558557581455487,0.02520403071033027
