zeros,gamma_N,corr,RMS,MAE,bias_emp_minus_pred,pred_mean,emp_mean
1,14.134725141734696,0.3077186068342824,0.015464108130866775,0.011080078512598974,0.009608243855856293,0.012670183193529846,0.022278427049386144
10,49.7738324776723,0.8096515664268847,0.008000084994655076,0.005298515958771929,0.002822589582385658,0.01945583746700048,0.022278427049386144
80,201.2647519437038,0.9623839211943775,0.0035174262471840156,0.0023363431522101,0.000633728913887388,0.02164469813549875,0.022278427049386144
300,541.8474371212013,0.9850833510798105,0.0022027666470104965,0.0014534251390321267,0.00022444677108892212,0.022053980278297216,0.022278427049386144
1000,1419.4224809459956,0.9947122254233691,0.0013101649273964972,0.0008678243885837782,7.236612120537478e-05,0.02220606092818076,0.022278427049386144
