n,gamma,zeta_prime_real,zeta_prime_imag
1,14.134725141734695,0.783296511867031,0.12469982974817109
2,21.022039638771556,1.1092955634626716,-0.24872978851649746
3,25.01085758014569,1.2957956050088353,0.45003670943786717
4,30.424876125859512,1.1201308452444934,-0.6675094693494923
5,32.93506158773919,1.1605700674935626,0.7505541503422638
6,37.586178158825675,1.8534662499829555,-0.5610044204957607
7,40.9187190121475,1.4595173346719907,-0.30286893544609256
8,43.327073280915,1.4640875741457995,1.1037257926214104
9,48.00515088116716,1.0339297984719464,-1.178860415987819
10,49.7738324776723,1.2608936467842435,0.6507810252362314
11,52.970321477714464,2.344970632667445,0.6240181923932675
12,56.44624769706339,2.2168085378914295,-0.8323915759472413
13,59.34704400260235,1.2601515126148704,-0.5908815787462921
14,60.83177852460981,0.8559365039821579,1.4154783527660133
15,65.1125440480816,1.6515820757305586,-1.5831012172721204
16,67.07981052949417,1.7800760754908274,0.11173723420259732
17,69.54640171117398,2.1120179422005902,0.5650982899875102
18,72.0671576744819,2.784420397832221,1.017577910789383
19,75.70469069908393,0.9757569742268686,-1.4881928193913025
20,77.1448400688748,1.3681211817005665,0.502667718581877
21,79.33737502024937,1.9673676408202183,1.7572444965098601
22,82.91038085408603,2.0103919192946273,-1.6907953829316194
23,84.73549298051705,2.15519310618321,0.16861318780693096
24,87.42527461312523,1.7198208831227326,-0.5327409464346403
25,88.80911120763446,1.150191361839592,1.847712467798885
26,92.49189927055849,2.179850147576858,-2.068521085113802
27,94.65134404051989,1.273628443220134,-0.7526628777373774
28,95.87063422824531,0.9845839251644566,1.3779474237420037
29,98.83119421819369,3.513562437071261,0.12448741421238864
30,101.31785100573138,3.0449104975449957,-0.8248149166109816
31,103.72553804047834,1.9181860435388025,-1.0090828691886666
32,105.44662305232609,1.8211482627540634,0.4405862778805282
33,107.1686111842764,1.7501537068394584,2.4150054403200576
34,111.02953554316967,0.23129777527349576,-1.5739414123903086
35,111.87465917699264,1.193515578837384,0.6544096580195666
36,114.32022091545271,2.531203644208371,0.2766619735546103
37,116.22668032085755,2.7706794068015377,1.4323176905795802
38,118.79078286597621,3.851762238253166,-0.5267766038047981
39,121.37012500242065,1.6002242219041123,-1.6450014716161425
40,122.94682929355258,1.5591385084859497,0.004702042242178827
41,124.25681855434577,0.8537247685917665,2.152838883267503
42,127.5166838795965,3.3558903099109436,-2.0613429666591965
43,129.57870419995606,2.032664682228034,-1.167195023431942
44,131.08768853093267,2.192547094790934,0.757296943765677
45,133.4977372029976,2.2446744358654205,-0.44964145533860145
46,134.75650975337388,1.480830855127906,2.397004099199325
47,138.11604205453344,1.6772315364290145,-2.6779000882994275
48,139.7362089521214,1.6745083428654894,-0.6643933862903807
49,141.12370740402113,1.6558837669513382,1.1536761192893887
50,143.11184580762063,2.9854907043185244,2.2688166519830233
51,146.0009824867655,2.401977263078173,-2.186227667978945
52,147.42276534255961,2.7796446436250726,0.4584418527701476
53,150.05352042078488,1.0604974033613042,-1.224858056381305
54,150.92525761224147,0.9834288732296183,1.2394669246822574
55,153.0246938111989,3.2514085501221652,2.7244545216240135
56,156.11290929423788,1.3866849461124573,-2.767797311788619
57,157.59759181759406,1.63553326262457,-0.602936056713069
58,158.8499881714205,1.5359636225512479,1.4840390681846638
59,161.18896413759603,3.5632706887938443,0.4429998709420403
60,163.030709687182,3.9630632841819633,1.105716199198047
61,165.5370691879004,2.6471280288417987,-2.124624941488847
62,167.1844399781745,2.38949604476516,-0.5679640355568394
63,169.09451541556882,1.495312369355444,-0.3515244454283457
64,169.9119764794117,0.013574582174888383,1.9788909099479073
65,173.41153651959155,1.6368102053052165,-3.0783308149179223
66,174.75419152336573,2.320826210968511,-0.3993856967548778
67,176.44143429771043,2.6242960878990695,0.4279516222289012
68,178.37740777609997,2.8137481429794193,0.1961780818631038
69,179.916484020257,2.826904295049598,2.0741486790753343
70,182.20707848436646,4.996640431184198,-0.37394162169238143
71,184.8744678483875,0.20418884303568097,-1.4803208726149486
72,185.59878367770747,1.0924443701324744,0.5720934270680974
73,187.22892258350186,1.8483085975551696,2.15060319402119
74,189.41615865601693,4.8449444848864704,1.4133629123070575
75,192.0266563607138,1.427566757272256,-2.3733999688030156
76,193.0797266038457,2.2765151982773593,0.7298453605144526
77,195.26539667952923,2.724906093822419,-0.8355449692937184
78,196.87648184095832,2.1753244632695656,0.15802261220259503
79,198.01530967625192,0.9927440636259786,2.9978032280082934
80,201.2647519437038,1.1410955424282858,-3.1843398957234066
