n,gamma,beta_partial,energy_mean_partial,Jminus1_over_gamma
1,14.134725141734696,0.01589242166967712,0.012678766891304897,0.112458050203024
2,21.02203963877156,0.019392168844532095,0.015039431538403971,0.11242087052848859
3,25.01085758014569,0.021090676623542106,0.016362683020681557,0.11574065878534881
4,30.424876125859512,0.0223610729620534,0.017316518827243006,0.11447598894446179
5,32.93506158773919,0.02332606058185352,0.017995172514807048,0.12164568911608421
6,37.58617815882568,0.02370350954514484,0.018266172008231493,0.11368728218445852
7,40.9187190121475,0.024241027024615877,0.018679375642457478,0.11542716085312099
8,43.327073280915,0.02455790084192284,0.018924798628048918,0.11587661350741911
9,48.00515088116716,0.02491083821911131,0.019178572460382234,0.11305682133648166
10,49.7738324776723,0.025311760959152364,0.019461863968190076,0.11901815634280734
11,52.970321477714464,0.02543280326564984,0.019549383040596204,0.11504212762488328
12,56.44624769706339,0.02554474350688988,0.019634559413814704,0.1111174533007223
13,59.34704400260235,0.025837862402795522,0.019858137544772805,0.11438468285054819
14,60.83177852460981,0.026035373178793945,0.0200064333378546,0.1176007426262611
15,65.1125440480816,0.026125498518580488,0.020070844285805533,0.11280350589083986
16,67.07981052949417,0.026265211654232734,0.020171028252156917,0.11418151477370757
17,69.54640171117398,0.0263517152841844,0.02023475096181191,0.11314002070487028
18,72.0671576744819,0.026395530144987783,0.02026791428910837,0.11076150554974894
19,75.70469069908393,0.02650572013834383,0.020350882818824582,0.1096106600196078
20,77.1448400688748,0.026663901561413145,0.02046819716441338,0.11366613132509355
21,79.33737502024937,0.02670956251504608,0.020501286079486713,0.1123362830750805
22,82.91038085408603,0.026751724208171665,0.020531755281948172,0.10924305861126202
23,84.73549298051705,0.026811326317859527,0.02057554583231847,0.10941537466212323
24,87.42527461312523,0.02689204662155843,0.02063633783496705,0.10957764438995808
25,88.80911120763446,0.026945576898571792,0.020676855741581894,0.11024725297244095
26,92.49189927055848,0.026971464800507543,0.020696070481470593,0.10705473827118543
